image,modal,split,image_path,mask_path,width,height,scale,global_hfr,full_power,high_power
gas_1b01935634abc49a,WL,train,dataset\WL\train\images\gas_1b01935634abc49a.jpg,dataset\WL\train\masks\gas_1b01935634abc49a.png,773,956,0.0120086669921875,0.00013844132700776353,932213188.0875357,129056.83081297632
gas_1c104bf23e66b59,WL,train,dataset\WL\train\images\gas_1c104bf23e66b59.jpg,dataset\WL\train\masks\gas_1c104bf23e66b59.png,1029,895,0.069366455078125,0.00024188485564965805,796638367.5093577,192694.75652998022
gas_1c1e4c62b50c6000,WL,train,dataset\WL\train\images\gas_1c1e4c62b50c6000.jpg,dataset\WL\train\masks\gas_1c1e4c62b50c6000.png,1158,1008,0.0662994384765625,0.00010735205078867788,1222928979.2349408,131283.93388977536
gas_1d5eddfeeaec8d5a,WL,train,dataset\WL\train\images\gas_1d5eddfeeaec8d5a.jpg,dataset\WL\train\masks\gas_1d5eddfeeaec8d5a.png,1156,1007,0.56182861328125,0.0003581122344521677,788723458.0511495,282451.5199275377
gas_1d8e0f75b31a8353,WL,train,dataset\WL\train\images\gas_1d8e0f75b31a8353.jpg,dataset\WL\train\masks\gas_1d8e0f75b31a8353.png,282,327,0.38262939453125,8.013873749243685e-05,784825409.0226222,62894.917431058304
gas_1db91e018e91bcaa,WL,train,dataset\WL\train\images\gas_1db91e018e91bcaa.jpg,dataset\WL\train\masks\gas_1db91e018e91bcaa.png,549,481,0.158721923828125,2.5942136425415568e-05,1059758512.74925,27492.399915736547
gas_1e6eaee14377dc76,WL,train,dataset\WL\train\images\gas_1e6eaee14377dc76.jpg,dataset\WL\train\masks\gas_1e6eaee14377dc76.png,1158,1010,0.276580810546875,0.00032023791733833004,651472819.7177087,208626.2989889284
gas_1e74fff5248b2868,WL,train,dataset\WL\train\images\gas_1e74fff5248b2868.jpg,dataset\WL\train\masks\gas_1e74fff5248b2868.png,1158,1008,0.31341552734375,0.0003379845917622353,812466863.1075432,274601.2810477469
gas_1e7d184c1aa78b89,WL,train,dataset\WL\train\images\gas_1e7d184c1aa78b89.jpg,dataset\WL\train\masks\gas_1e7d184c1aa78b89.png,579,560,0.1220245361328125,0.0001553865567651681,984313621.7358863,152949.1044585915
gas_1e9edff193f99e63,WL,train,dataset\WL\train\images\gas_1e9edff193f99e63.jpg,dataset\WL\train\masks\gas_1e9edff193f99e63.png,1162,1007,0.092437744140625,0.000397697860077596,706512037.7769777,280978.3255429657
gas_1ee78194bbedf952,WL,train,dataset\WL\train\images\gas_1ee78194bbedf952.jpg,dataset\WL\train\masks\gas_1ee78194bbedf952.png,1156,1008,0.4227447509765625,0.0002919685468198305,750107287.4543637,219007.73467701543
gas_1ee9615d9729fd16,WL,train,dataset\WL\train\images\gas_1ee9615d9729fd16.jpg,dataset\WL\train\masks\gas_1ee9615d9729fd16.png,1158,1009,0.3005218505859375,0.0006017966605049553,725249941.7339177,436452.9929668851
gas_1ef66f64bd256c44,WL,train,dataset\WL\train\images\gas_1ef66f64bd256c44.jpg,dataset\WL\train\masks\gas_1ef66f64bd256c44.png,514,479,0.137451171875,0.00011405788864537037,777458564.9625225,88675.28242888484
gas_1f25009718912d4e,WL,train,dataset\WL\train\images\gas_1f25009718912d4e.jpg,dataset\WL\train\masks\gas_1f25009718912d4e.png,1158,1009,0.2685394287109375,0.00035677326796481365,692664240.1587077,247124.0845637867
gas_202c02167a647afb,WL,train,dataset\WL\train\images\gas_202c02167a647afb.jpg,dataset\WL\train\masks\gas_202c02167a647afb.png,1156,1007,0.1007232666015625,0.00023017844098099756,820993023.6378009,188974.8942372243
gas_2203259dc800ccb0,WL,train,dataset\WL\train\images\gas_2203259dc800ccb0.jpg,dataset\WL\train\masks\gas_2203259dc800ccb0.png,1158,1008,0.2433013916015625,0.0004994307949183971,599719771.719062,299518.52231793076
gas_222586d510be7954,WL,train,dataset\WL\train\images\gas_222586d510be7954.jpg,dataset\WL\train\masks\gas_222586d510be7954.png,553,436,0.0743560791015625,0.00013210042881546153,700618671.7807614,92552.02697835767
gas_22414e7bb57632a2,WL,train,dataset\WL\train\images\gas_22414e7bb57632a2.jpg,dataset\WL\train\masks\gas_22414e7bb57632a2.png,1158,1008,0.008941650390625,0.0001358855385536778,820932934.1052209,111552.91386733885
gas_2290ef0cba4f8974,WL,train,dataset\WL\train\images\gas_2290ef0cba4f8974.jpg,dataset\WL\train\masks\gas_2290ef0cba4f8974.png,282,327,0.2130889892578125,0.0002517203953705256,853298673.5828987,214792.67948343232
gas_22bc4b1fa6b5d4fa,WL,train,dataset\WL\train\images\gas_22bc4b1fa6b5d4fa.jpg,dataset\WL\train\masks\gas_22bc4b1fa6b5d4fa.png,1156,1007,0.5999298095703125,0.0008372088779009292,790272459.9929261,661623.1194666846
gas_22ca9f4505e3a242,WL,train,dataset\WL\train\images\gas_22ca9f4505e3a242.jpg,dataset\WL\train\masks\gas_22ca9f4505e3a242.png,1096,1007,0.4028167724609375,0.00026270309305886875,754037678.6626679,198088.0304676122
gas_22cadeefd36a198b,WL,train,dataset\WL\train\images\gas_22cadeefd36a198b.jpg,dataset\WL\train\masks\gas_22cadeefd36a198b.png,773,956,0.577484130859375,0.0004255023031881967,593518678.2978855,252543.56460096466
gas_23196569af9f1016,WL,train,dataset\WL\train\images\gas_23196569af9f1016.jpg,dataset\WL\train\masks\gas_23196569af9f1016.png,1158,1009,0.0095672607421875,0.00020991703700869348,884387078.3739175,185647.91506102792
gas_23209be5d5a6ab77,WL,train,dataset\WL\train\images\gas_23209be5d5a6ab77.jpg,dataset\WL\train\masks\gas_23209be5d5a6ab77.png,1158,1011,0.435638427734375,0.0003390181237611358,1221122514.7959712,413982.66384860995
gas_232bd7a84c0eeaba,WL,train,dataset\WL\train\images\gas_232bd7a84c0eeaba.jpg,dataset\WL\train\masks\gas_232bd7a84c0eeaba.png,1158,1009,0.4308624267578125,0.00010583650519859029,1203338201.2131948,127357.10978836258
gas_23492a858ff49e53,WL,train,dataset\WL\train\images\gas_23492a858ff49e53.jpg,dataset\WL\train\masks\gas_23492a858ff49e53.png,565,482,0.322967529296875,9.542285215706253e-05,746997692.1900195,71280.65034351514
gas_235f01e565e49e5d,WL,train,dataset\WL\train\images\gas_235f01e565e49e5d.jpg,dataset\WL\train\masks\gas_235f01e565e49e5d.png,552,436,0.1373748779296875,3.9090726027955495e-05,691800645.5028682,27042.989499315383
gas_24a9ce8882690a5e,WL,train,dataset\WL\train\images\gas_24a9ce8882690a5e.jpg,dataset\WL\train\masks\gas_24a9ce8882690a5e.png,1156,1007,0.1508636474609375,0.00016255646410868004,677693309.1988618,110163.42809347739
gas_24d36f49e325dc92,WL,train,dataset\WL\train\images\gas_24d36f49e325dc92.jpg,dataset\WL\train\masks\gas_24d36f49e325dc92.png,531,466,0.03692626953125,0.00026782435231150793,704091696.7945254,188572.9026619044
gas_2509f3f0c6534ede,WL,train,dataset\WL\train\images\gas_2509f3f0c6534ede.jpg,dataset\WL\train\masks\gas_2509f3f0c6534ede.png,1158,1010,0.026763916015625,0.0002329673946038408,1025264555.0406767,238853.2121674926
gas_251df79810a1a120,WL,train,dataset\WL\train\images\gas_251df79810a1a120.jpg,dataset\WL\train\masks\gas_251df79810a1a120.png,1158,1008,0.089019775390625,0.00019191914026000855,1002698227.9450674,192436.98184745142
gas_25303,WL,train,dataset\WL\train\images\gas_25303.jpg,dataset\WL\train\masks\gas_25303.png,567,481,0.451416015625,0.00010172893572555243,801137522.5061134,81498.86753435273
gas_25305,WL,train,dataset\WL\train\images\gas_25305.jpg,dataset\WL\train\masks\gas_25305.png,567,481,0.4857177734375,2.4367309229243742e-05,882521144.235356,21504.665622928937
gas_25306,WL,train,dataset\WL\train\images\gas_25306.jpg,dataset\WL\train\masks\gas_25306.png,567,480,0.2362518310546875,5.31094578951086e-05,854391218.4185156,45376.254440548684
gas_25309,WL,train,dataset\WL\train\images\gas_25309.jpg,dataset\WL\train\masks\gas_25309.png,942,814,0.23309326171875,3.6468435681477004e-05,1040978445.0312959,37962.85546842776
gas_25312,WL,train,dataset\WL\train\images\gas_25312.jpg,dataset\WL\train\masks\gas_25312.png,1081,934,0.078643798828125,0.00014912821257271074,741040202.2035834,110510.00079914053
gas_25313,WL,train,dataset\WL\train\images\gas_25313.jpg,dataset\WL\train\masks\gas_25313.png,1080,934,0.0869140625,0.00011520581494040676,836764381.7209996,96400.12250927337
gas_25324,WL,train,dataset\WL\train\images\gas_25324.jpg,dataset\WL\train\masks\gas_25324.png,943,814,0.3687744140625,7.374886605783006e-05,1061344321.6840293,78272.94022111398
gas_25334,WL,train,dataset\WL\train\images\gas_25334.jpg,dataset\WL\train\masks\gas_25334.png,942,814,0.4062957763671875,5.885892505759022e-05,712138462.3666592,41915.704387066726
gas_25339,WL,train,dataset\WL\train\images\gas_25339.jpg,dataset\WL\train\masks\gas_25339.png,1081,935,0.2941741943359375,6.0145098448248124e-05,1847709863.4934876,111130.69164361492
gas_25340,WL,train,dataset\WL\train\images\gas_25340.jpg,dataset\WL\train\masks\gas_25340.png,1081,935,0.145294189453125,0.00010891326225155865,1071883796.5114954,116742.36103265281
gas_25351,WL,train,dataset\WL\train\images\gas_25351.jpg,dataset\WL\train\masks\gas_25351.png,1082,935,0.35650634765625,6.938184038061225e-05,1176684767.9650598,81640.55474924954
gas_25354,WL,train,dataset\WL\train\images\gas_25354.jpg,dataset\WL\train\masks\gas_25354.png,1081,934,0.1416015625,8.300054582817529e-05,992096919.9897885,82344.585873604
gas_25357,WL,train,dataset\WL\train\images\gas_25357.jpg,dataset\WL\train\masks\gas_25357.png,1079,934,0.3732147216796875,3.5990623738644704e-05,626240416.5841445,22538.783203212057
gas_25369,WL,train,dataset\WL\train\images\gas_25369.jpg,dataset\WL\train\masks\gas_25369.png,565,478,0.13836669921875,0.0001675517419052758,749133621.5464206,125518.64320991041
gas_25372,WL,train,dataset\WL\train\images\gas_25372.jpg,dataset\WL\train\masks\gas_25372.png,1080,935,0.322418212890625,3.333949299492784e-05,1280060270.695148,42676.56042792632
gas_25375,WL,train,dataset\WL\train\images\gas_25375.jpg,dataset\WL\train\masks\gas_25375.png,1082,934,0.127105712890625,0.00010132808796220573,872133924.5781779,88371.66302448131
gas_25380,WL,train,dataset\WL\train\images\gas_25380.jpg,dataset\WL\train\masks\gas_25380.png,1080,935,0.1219024658203125,3.29648949163189e-05,1139716623.42496,37570.6387255856
gas_25382,WL,train,dataset\WL\train\images\gas_25382.jpg,dataset\WL\train\masks\gas_25382.png,1081,934,0.21270751953125,0.00014613714256418817,366557673.5987697,53567.691004700566
gas_25389,WL,train,dataset\WL\train\images\gas_25389.jpg,dataset\WL\train\masks\gas_25389.png,565,480,0.11077880859375,2.4210289528628093e-05,1164820345.198923,28200.637806102448
gas_25393,WL,train,dataset\WL\train\images\gas_25393.jpg,dataset\WL\train\masks\gas_25393.png,533,478,0.0512847900390625,9.204705144615393e-05,945694869.0055826,87048.42425972066
gas_25404,WL,train,dataset\WL\train\images\gas_25404.jpg,dataset\WL\train\masks\gas_25404.png,568,480,0.2923431396484375,1.4246468802999927e-05,844195457.6121799,12026.804250506168
gas_25409,WL,train,dataset\WL\train\images\gas_25409.jpg,dataset\WL\train\masks\gas_25409.png,942,814,0.4274139404296875,4.321410896573776e-05,939696708.904452,40608.155973342145
gas_25410,WL,train,dataset\WL\train\images\gas_25410.jpg,dataset\WL\train\masks\gas_25410.png,431,367,0.2433013916015625,1.961384805521137e-05,901613649.1011149,17684.113117973928
gas_25411,WL,train,dataset\WL\train\images\gas_25411.jpg,dataset\WL\train\masks\gas_25411.png,433,367,0.0604705810546875,2.3957301930835705e-05,1384114671.9608765,33159.65310306633
gas_25419,WL,train,dataset\WL\train\images\gas_25419.jpg,dataset\WL\train\masks\gas_25419.png,531,478,0.10443115234375,5.0025903580236474e-05,695192143.8334178,34777.615157148444
gas_25444,WL,train,dataset\WL\train\images\gas_25444.jpg,dataset\WL\train\masks\gas_25444.png,514,481,0.271575927734375,8.849448278935752e-05,707537222.3886813,62613.140549504984
gas_25446,WL,train,dataset\WL\train\images\gas_25446.jpg,dataset\WL\train\masks\gas_25446.png,1111,934,0.0898284912109375,0.0002113069338817617,795796024.558185,168157.2179446852
gas_25447,WL,train,dataset\WL\train\images\gas_25447.jpg,dataset\WL\train\masks\gas_25447.png,531,480,0.239593505859375,1.2937592968045908e-05,997498646.5547708,12905.231475302313
gas_25448,WL,train,dataset\WL\train\images\gas_25448.jpg,dataset\WL\train\masks\gas_25448.png,531,478,0.2282257080078125,2.163324093608439e-05,1037760234.8704033,22450.11719483896
gas_25452,WL,train,dataset\WL\train\images\gas_25452.jpg,dataset\WL\train\masks\gas_25452.png,432,367,0.0184783935546875,3.568331847853543e-05,1006042944.5068823,35898.95079192263
gas_25455,WL,train,dataset\WL\train\images\gas_25455.jpg,dataset\WL\train\masks\gas_25455.png,433,367,0.05120849609375,2.2397025337190756e-05,1143136323.6525028,25602.853204708197
gas_25462,WL,train,dataset\WL\train\images\gas_25462.jpg,dataset\WL\train\masks\gas_25462.png,433,367,0.066436767578125,2.057109613606724e-05,1328733727.3774698,27333.50924511689
gas_25470,WL,train,dataset\WL\train\images\gas_25470.jpg,dataset\WL\train\masks\gas_25470.png,1088,934,0.1094512939453125,0.00022593365273610442,565627371.0475662,127794.25802829649
gas_25478,WL,train,dataset\WL\train\images\gas_25478.jpg,dataset\WL\train\masks\gas_25478.png,515,479,0.1707611083984375,6.754527921402173e-05,949333430.749158,64122.99164715704
gas_25479,WL,train,dataset\WL\train\images\gas_25479.jpg,dataset\WL\train\masks\gas_25479.png,515,479,0.2046051025390625,8.76214681782346e-05,793646680.604937,69540.487369387
gas_25481,WL,train,dataset\WL\train\images\gas_25481.jpg,dataset\WL\train\masks\gas_25481.png,515,479,0.1937408447265625,8.949713272227032e-05,691494651.594556,61886.78861049805
gas_25486,WL,train,dataset\WL\train\images\gas_25486.jpg,dataset\WL\train\masks\gas_25486.png,1112,935,0.2731781005859375,0.00028138288023167005,568637377.7962322,160004.82317168813
gas_25487,WL,train,dataset\WL\train\images\gas_25487.jpg,dataset\WL\train\masks\gas_25487.png,515,479,0.1665191650390625,3.231428131798783e-05,728756752.1808535,23549.25070235524
gas_25490,WL,train,dataset\WL\train\images\gas_25490.jpg,dataset\WL\train\masks\gas_25490.png,1134,934,0.157562255859375,0.0002683956884087608,824953190.0102423,221413.87933780227
gas_25491,WL,train,dataset\WL\train\images\gas_25491.jpg,dataset\WL\train\masks\gas_25491.png,1087,934,0.1893768310546875,0.00014866920522434797,713875754.4521031,106131.34104332596
gas_25492,WL,train,dataset\WL\train\images\gas_25492.jpg,dataset\WL\train\masks\gas_25492.png,1087,934,0.2165374755859375,0.00012292427072404594,849019461.5343637,104365.09813963385
gas_25493,WL,train,dataset\WL\train\images\gas_25493.jpg,dataset\WL\train\masks\gas_25493.png,1089,934,0.1165618896484375,0.00017296652349441683,763955373.3201692,132138.70502806903
gas_25500,WL,train,dataset\WL\train\images\gas_25500.jpg,dataset\WL\train\masks\gas_25500.png,1088,934,0.2599334716796875,0.00014544002324231152,604635549.2219914,87938.20833197422
gas_25504,WL,train,dataset\WL\train\images\gas_25504.jpg,dataset\WL\train\masks\gas_25504.png,1113,934,0.2498626708984375,0.00015453663024333317,870534004.6163169,134529.39158563985
gas_25507,WL,train,dataset\WL\train\images\gas_25507.jpg,dataset\WL\train\masks\gas_25507.png,1088,934,0.3299407958984375,0.0002583396902749422,443249266.44705904,114508.87820852855
gas_25511,WL,train,dataset\WL\train\images\gas_25511.jpg,dataset\WL\train\masks\gas_25511.png,514,481,0.090789794921875,4.069301175025014e-05,709812000.381392,28884.388071988542
gas_25514,WL,train,dataset\WL\train\images\gas_25514.jpg,dataset\WL\train\masks\gas_25514.png,515,479,0.0854949951171875,2.5476648064093595e-05,985982111.35188,25119.519248403787
gas_25524,WL,train,dataset\WL\train\images\gas_25524.jpg,dataset\WL\train\masks\gas_25524.png,1133,935,0.4037933349609375,0.00022151497769266358,767647769.8263747,170045.47860891232
gas_25556,WL,train,dataset\WL\train\images\gas_25556.jpg,dataset\WL\train\masks\gas_25556.png,432,368,0.1028289794921875,5.325368198607659e-05,605533156.0791695,32246.870125865375
gas_25563,WL,train,dataset\WL\train\images\gas_25563.jpg,dataset\WL\train\masks\gas_25563.png,1089,934,0.3462371826171875,7.403345656713539e-05,1496363879.1047134,110780.99025232904
gas_25567,WL,train,dataset\WL\train\images\gas_25567.jpg,dataset\WL\train\masks\gas_25567.png,1112,934,0.1192626953125,0.00027008195078548027,814730796.5426221,220044.08289523958
gas_25581,WL,train,dataset\WL\train\images\gas_25581.jpg,dataset\WL\train\masks\gas_25581.png,944,814,0.1334075927734375,4.161231862423833e-05,736706554.7087426,30656.067887105062
gas_25582,WL,train,dataset\WL\train\images\gas_25582.jpg,dataset\WL\train\masks\gas_25582.png,515,479,0.110992431640625,5.280875926120306e-05,664852561.7940177,35110.03887997441
gas_25593,WL,train,dataset\WL\train\images\gas_25593.jpg,dataset\WL\train\masks\gas_25593.png,433,367,0.158782958984375,1.8232454685414e-05,1315225794.7686584,23979.794704207176
gas_25606,WL,train,dataset\WL\train\images\gas_25606.jpg,dataset\WL\train\masks\gas_25606.png,1088,934,0.0976715087890625,0.00017885298122479804,750074647.9563247,134153.08692812955
gas_25618,WL,train,dataset\WL\train\images\gas_25618.jpg,dataset\WL\train\masks\gas_25618.png,515,479,0.1929931640625,6.028805240863465e-05,1084669836.3482356,65392.6319398276
gas_25619,WL,train,dataset\WL\train\images\gas_25619.jpg,dataset\WL\train\masks\gas_25619.png,515,479,0.2059173583984375,6.147587820146718e-05,1005343347.5808995,61804.36518653867
gas_25623,WL,train,dataset\WL\train\images\gas_25623.jpg,dataset\WL\train\masks\gas_25623.png,433,367,0.256011962890625,5.087193137279205e-05,1245850979.6008306,63378.8455349792
gas_25627,WL,train,dataset\WL\train\images\gas_25627.jpg,dataset\WL\train\masks\gas_25627.png,515,479,0.15228271484375,4.028397942213334e-05,524948570.62852764,21147.01741687792
gas_25643,WL,train,dataset\WL\train\images\gas_25643.jpg,dataset\WL\train\masks\gas_25643.png,432,369,0.438140869140625,4.676088326803895e-05,601855212.2640833,28143.281324941603
gas_25646,WL,train,dataset\WL\train\images\gas_25646.jpg,dataset\WL\train\masks\gas_25646.png,393,368,0.1167449951171875,3.146314426382399e-05,685667202.5688581,21573.24611139661
gas_25656,WL,train,dataset\WL\train\images\gas_25656.jpg,dataset\WL\train\masks\gas_25656.png,430,365,0.4578857421875,3.6594623165183723e-05,950590701.9963399,34786.508523883516
gas_25659,WL,train,dataset\WL\train\images\gas_25659.jpg,dataset\WL\train\masks\gas_25659.png,430,366,0.3558807373046875,4.845001979680599e-05,903344159.306605,43767.04240173408
gas_25661,WL,train,dataset\WL\train\images\gas_25661.jpg,dataset\WL\train\masks\gas_25661.png,433,368,0.3422088623046875,6.392488239711311e-05,794215378.8825837,50770.124693047794
gas_25666,WL,train,dataset\WL\train\images\gas_25666.jpg,dataset\WL\train\masks\gas_25666.png,515,479,0.05450439453125,4.5132212648617926e-05,790369932.0057209,35671.14384235589
gas_25670,WL,train,dataset\WL\train\images\gas_25670.jpg,dataset\WL\train\masks\gas_25670.png,515,479,0.12969970703125,5.715149370242902e-05,741242620.5079275,42363.122957930806
gas_25674,WL,train,dataset\WL\train\images\gas_25674.jpg,dataset\WL\train\masks\gas_25674.png,515,479,0.193878173828125,5.214449666160507e-05,726889651.9499884,37903.29502946144
gas_25676,WL,train,dataset\WL\train\images\gas_25676.jpg,dataset\WL\train\masks\gas_25676.png,515,479,0.2669219970703125,7.437900920790645e-05,667982059.2404765,49683.84373496372
gas_25683,WL,train,dataset\WL\train\images\gas_25683.jpg,dataset\WL\train\masks\gas_25683.png,432,367,0.326690673828125,4.489576556617137e-05,695895709.7062361,31242.770641475625
gas_25684,WL,train,dataset\WL\train\images\gas_25684.jpg,dataset\WL\train\masks\gas_25684.png,432,367,0.302703857421875,4.026219126806257e-05,674760417.7366859,27167.332999032245
gas_25691,WL,train,dataset\WL\train\images\gas_25691.jpg,dataset\WL\train\masks\gas_25691.png,515,479,0.075286865234375,4.870064504609196e-05,894046098.0804306,43540.62167745857
